entity_name,label_name,label
"Boris,Rheins",Politiker,4
"Manuela,Schwesig",Politiker,4
"Manuela,Schwesigs",Politiker,4
"Kai,Wegner",Politiker,4
"Kai,Wegners",Politiker,4
"Stephan,Weil",Politiker,4
"Stephan,Weils",Politiker,4
"Hendrik,Wüst",Politiker,4
"Hendrik,Wüst",Politiker,4
"Armin,Laschet",Politiker,4
"Armin,Laschets",Politiker,4
"Anne,Spiegels",Politiker,4
"Janine,Wisslers",Politiker,4
"Janine,Wissler",Politiker,4
Kanzler,Politiker,4
Kanzlerin,Politiker,4
Kanzlers,Politiker,4
"Gerhard,Schröder",Politiker,4
"Gerhard,Schröders",Politiker,4
"Regierender Bürgermeister",Politiker,4
"Regierenden Bürgermeister",Politiker,4
"Regierenden Bürgermeisters",Politiker,4
"Christlich Demokratischen Union Deutschlands",Partei,1
"Christlich Demokratische Union Deutschlands",Partei,1
"Christlich Demokratische Union Deutschland",Partei,1
"Christlich Demokratische Union",Partei,1
"Christlich Demokratischen Union",Partei,1
"Deutscher Bundestag",Behörde,2
"Deutschen Bundestags",Behörde,2
"Deutschen Bundestag",Behörde,2
Bundesinnenministerium,Behörde,2
Bundesfinanzministerium,Behörde,2
Bundeswirtschaftsnministerium,Behörde,2
Bundesfamilienministerium,Behörde,2
Bundesarbeitsministerium,Behörde,2
Gesellschaftsministerium,Behörde,2
Bundesinnenministeriums,Behörde,2
Bundesfinanzministeriums,Behörde,2
Bundeswirtschaftsnministeriums,Behörde,2
Bundesfamilienministeriums,Behörde,2
Bundesarbeitsministeriums,Behörde,2
Gesellschaftsministeriums,Behörde,2
Verteidigungsministerium,Behörde,2
Verteidigungsministeriums,Behörde,2
Bundesverteidigungsministerium,Behörde,2
Bundesverteidigungsministeriums,Behörde,2
Bundesumweltministerium,Behörde,2
Bundesumweltministeriums,Behörde,2
Umweltministerium,Behörde,2
Umweltministeriums,Behörde,2
Bundesjustizministerium,Behörde,2
Bundesjustizministeriums,Behörde,2
Justizministerium,Behörde,2
Justizministeriums,Behörde,2
Bundesernährungsministerium,Behörde,2
Bundesernährungsministeriums,Behörde,2
Ernährungsministerium,Behörde,2
Ernährungsministeriums,Behörde,2
Bundesaußenministerium,Behörde,2
Bundesaußenministeriums,Behörde,2
Außenministerium,Behörde,2
Außenministeriums,Behörde,2
Bundesbauministerium,Behörde,2
Bundesbauministeriums,Behörde,2
Bauministerium,Behörde,2
Bauministeriums,Behörde,2
Bundesforschungsministerium,Behörde,2
Bundesforschungsministeriums,Behörde,2
Forschungsministerium,Behörde,2
Forschungsministeriums,Behörde,2
Minister,Politiker,4
Ministerin,Politiker,4
Ministers,Politiker,4
Ministerium,Behörde,4
Ministeriums,Politiker,4
MdB, Politiker, 4
Anne Will,Medien,0
Reuters,Medien,0
dpa,Medien,0
Deutsche Presse Agentur,Medien,0
DW,Medien,0
Deutsche Welle,Medien,0
heute-journal,Medien,0
ZDF heute-journal,Medien,0
Heute-Journal,Medien,0
Tagesschau,Medien,0
NDR,Medien,0
WDR,Medien,0
SWR,Medien,0
